Source,Target
Harry,Hedwig
Harry,Uncle Vernon
Harry,Uncle Vernon
Harry,Fudge
Harry,Fudge
Harry,Tom
Harry,Tom
Harry,Seamus Finnigan
Harry,Ron
Harry,Hermione
Harry,Hedwig
Harry,Errol
Harry,Mr. Weasley
Harry,Mrs. Weasley
Harry,Voldemort
Harry,Hedwig
Harry,Mr. Weasley
Harry,Mr. Weasley
Harry,Mr. Weasley
Harry,Lupin
Harry,Dumbledore
Harry,the Gryffindors
Harry,the Dursleys
Harry,Malfoy
Harry,Neville
Harry,Professor Trelawney
Harry,Ron
Harry,Hermione
Harry,Professor McGonagall
Harry,Malfoy
Harry,Lupin
Harry,Crookshanks
Harry,Malfoy
Harry,Crabbe
Harry,Lupin
Harry,Fred
Harry,George
Harry,Fred
Harry,Hermione
Harry,Hermione
Harry,Hagrid
Harry,Ron
Harry,Malfoy
Harry,Scabbers
Harry,Hermione
Harry,the Firebolt
Harry,Hermione
Harry,Lupin
Harry,James
Harry,Lupin
Harry,Lupin
Harry,Lupin
Harry,Professor McGonagall
Harry,Lupin
Harry,Hermione
Harry,Hermione
Harry,Ron
Harry,Gryffindor
Harry,Wood
Harry,the Firebolt
Harry,the Firebolt
Harry,Hermione
Harry,Ron
Harry,Ron
Harry,Ron
Harry,Snape
Harry,Black
Harry,Hagrid
Harry,Hermione
Harry,Malfoy
Harry,Malfoy
Harry,the Snitch
Harry,Malfoy
Harry,Malfoy
Harry,Hagrid
Harry,Hermione
Harry,Ron
Harry,Hermione
Harry,Buckbeak
Harry,Ron
Harry,Ron
Harry,Dad
Harry,Hagrid
Harry,Ron
Harry,Ron
Harry,Snape
Harry,Pettigrew
Harry,Pettigrew
Harry,Pettigrew
Harry,the Dursleys
Harry,Black
Harry,Madam Pomfrey
Harry,Madam Pomfrey
Harry,Dumbledore
Harry,Hermione
Harry,Hermione
Harry,Buckbeak
Harry,Buckbeak
Harry,Hagrid
Harry,Lupin
Harry,Hogwarts
Harry,Ron
Harry,Hermione
Harry,Uncle Vernon
Harry,Ron
Ron,Mr. Weasley
Ron,Harry
Ron,Crookshanks
Ron,Hermione
Ron,Harry
Ron,Harry
Ron,Harry
Ron,Hermione
Ron,Harry
Ron,Scabbers
Ron,Harry
Ron,Harry
Ron,Harry
Ron,Harry
Ron,Harry
Ron,Malfoy
Ron,Scabbers
Ron,Scabbers
Ron,Harry
Ron,Harry
Ron,Harry
Ron,Hermione
Ron,Hagrid
Ron,Scabbers
Ron,Harry
Ron,Pettigrew
Ron,Lupin
Ron,Harry
Ron,Black
Ron,Hermione
Hermione,Lupin
Hermione,Harry
Hermione,Harry
Hermione,Ron
Hermione,Ron
Hermione,Crookshanks
Hermione,Crookshanks
Hermione,Ron
Hermione,Harry
Hermione,Harry
Hermione,Harry
Hermione,Crookshanks
Hermione,Crookshanks
Hermione,Professor McGonagall
Hermione,Crookshanks
Hermione,Professor McGonagall
Hermione,Malfoy
Hermione,Harry
Hermione,Ron
Hermione,Malfoy
Hermione,Ron
Hermione,Professor McGonagall
Hermione,Lupin
Hermione,Harry
Hermione,Harry
Hermione,Harry
Hermione,Harry
Hermione,Harry
Hermione,Harry
Hermione,Harry
Lupin,Hermione
Lupin,Harry
Lupin,Harry
Lupin,Harry
Lupin,Harry
Lupin,Harry
Lupin,Snape
Lupin,Harry
Lupin,Harry
Lupin,Harry
Lupin,Black
Lupin,Harry
Lupin,Harry
Lupin,Black
Lupin,Harry
Lupin,Ron
Lupin,Black
Lupin,Black
Lupin,Scabbers
Lupin,Black
Lupin,Black
Lupin,Pettigrew
Lupin,Ron
Lupin,Black
Lupin,Pettigrew
Black,Ron
Black,Pettigrew
Black,James
Black,Lily
Black,Lupin
Black,Hermione
Black,Lily
Black,Pettigrew
Black,Snape
Black,Ron
Black,Ron
Black,Buckbeak
Hagrid,Malfoy
Hagrid,Harry
Hagrid,Ron
Hagrid,Hermione
Hagrid,Black
Hagrid,Harry
Hagrid,Pettigrew
Hagrid,Harry
Hagrid,Harry
Snape,Trevor
Snape,Lupin
Snape,Neville
Snape,Harry
Snape,Harry
Snape,Harry
Snape,Harry
Snape,James
Snape,Hermione
Snape,Lupin
Snape,Lupin
Snape,Harry
Snape,Black
Snape,Harry
Snape,Harry
Snape,the Slytherins
Snape,Harry
Pettigrew,James
Pettigrew,Lupin
Pettigrew,Hermione
Pettigrew,Harry
Pettigrew,Harry
Pettigrew,Lily
Pettigrew,Harry
Dumbledore,the Gryffindors
Dumbledore,Dementors
Dumbledore,Lily
Dumbledore,Harry
Dumbledore,Black
Professor Trelawney,Neville
Professor Trelawney,Hermione
Professor Trelawney,Professor McGonagall
Professor Trelawney,the Snitch
Professor Trelawney,Harry
Professor McGonagall,Harry
Professor McGonagall,Hermione
Professor McGonagall,Harry
Professor McGonagall,Hermione
Professor McGonagall,Harry
Professor McGonagall,Filch
Professor McGonagall,Harry
Professor McGonagall,Harry
Professor McGonagall,Harry
Professor McGonagall,Percy
Professor McGonagall,Neville
Professor McGonagall,Neville
Neville,Lupin
Fudge,Harry
Fudge,Harry
Fudge,Dumbledore
Fudge,Harry
Malfoy,Seeker
Malfoy,Lupin
Malfoy,Buckbeak
Wood,Diggory
Wood,Hermione
Wood,Harry
Wood,Harry
Wood,Professor McGonagall
Wood,Harry
Wood,Harry
Aunt Marge,Harry
Aunt Marge,Harry
Aunt Marge,St. Brutus
Aunt Marge,Harry
Aunt Marge,Aunt Petunia
Scabbers,Crookshanks
Crookshanks,Ron
Crookshanks,Harry
Crookshanks,Black
Uncle Vernon,Harry
Uncle Vernon,Dudley
Uncle Vernon,Harry
Percy,Scabbers
Percy,Harry
Percy,Harry
Percy,Harry
Percy,Harry
Buckbeak,Harry
Fred,Mrs. Weasley
Fred,Harry
Fred,Harry
Fred,Harry
Mr. Weasley,Harry
Mr. Weasley,Ron
Mr. Weasley,Mrs. Weasley
George,Snape
George,Harry
George,Bole
Madam Pomfrey,Hermione
Voldemort,Harry
Voldemort,Pettigrew
Mrs. Weasley,Hermione
Mrs. Weasley,Ginny
Mrs. Weasley,Harry
Tom,Fudge
Tom,Harry
Dumbledore,Lupin
Dumbledore,Snape
James,Lily
James,Dumbledore
Aunt Petunia,Harry
Crabbe,Buckbeak
Parvati,Harry
Parvati,Ron
Gryffindor,Ravenclaw
Ron,Harry
Ron,Hermione
Ginny,Harry
Alicia,Harry
Hermione,Professor McGonagall
Seamus Finnigan,Lupin
Lupin,James
Muggles,Harry
the Dursleys,Uncle Vernon
Ern,Black
Dad,Ron
Dumbledore,Professor Trelawney
Cho,Harry
Cho,the Snitch
Cho,Harry
Cho,the Snitch
Ravenclaw,Gryffindor
Ripper,Harry
Arthur,Harry
Mum,Ron
Mum,the Weasleys
Penelope,the Firebolt
Penelope,Harry
Bole,Alicia
Pettigrew,George
Pettigrew,Snape
Hufflepuff,Gryffindor
Lupin,George
the Willow,Hermione
Florean Fortescue,Harry
